TABLE_NAME,Column_Name,Description
Report.vw_Cashflow,GFromDate,"Gregorian start date for the cashflow period"
Report.vw_Cashflow,GToDate,"Gregorian end date for the cashflow period"
Report.vw_Cashflow,PlanCashIn,"Planned cash inflow for the period"
Report.vw_Cashflow,PlanCashOut,"Planned cash outflow for the period"
Report.vw_Cashflow,TotalPlanCash,"Total net planned cash for the period"
Report.vw_Cashflow,PlanCashInCumulative,"Cumulative planned cash inflow up to this period"
Report.vw_Cashflow,PlanCashOutCumulative,"Cumulative planned cash outflow up to this period"
Report.vw_Cashflow,PlanCashCumulative,"Cumulative total planned cash up to this period"
Report.vw_Cashflow,ActualCashIn,"Actual cash inflow for the period"
Report.vw_Cashflow,ActualCashOut,"Actual cash outflow for the period"
Report.vw_Cashflow,TotalActualCash,"Total net actual cash for the period"
Report.vw_Cashflow,ActualCashInCommulative,"Cumulative actual cash inflow up to this period"
Report.vw_Cashflow,ActualCashOutCommulative,"Cumulative actual cash outflow up to this period"
Report.vw_Cashflow,TotalActualCashCommulative,"Cumulative total actual cash up to this period"
Report.vw_Cashflow,ProjectID,"Unique identifier for the project"
Report.vw_Cashflow,TimePeriod,"Text description or ID of the time period"
Report.vw_CBS,CBSID,"Unique identifier for the Cost Breakdown Structure (CBS) node"
Report.vw_CBS,CBSName,"Name or title of the CBS node"
Report.vw_CBS,OrganizationUnitID,"Identifier of the associated Organization Unit"
Report.vw_CBS,OrganUnitName,"Name of the associated Organization Unit"
Report.vw_CBS,Stakeholder_ParentID,"Identifier of the parent stakeholder or node"
Report.vw_CBS,CreationTime,"Timestamp when the CBS node was created"
Report.vw_CBS,LastModificationTime,"Timestamp when the CBS node was last modified"
Report.vw_CBS,Weight,"Relative weight of the CBS node within the project"
Report.vw_CBS,ProjectID,"Unique identifier for the project"
Report.vw_CBS,Budget,"Allocated budget for the CBS node"
Report.vw_CBS,IRRAmmount,"Budget amount in Iranian Rials (IRR)"
Report.vw_CBS,USDAmmount,"Budget amount in US Dollars (USD)"
Report.vw_CBS,EURAmmount,"Budget amount in Euros (EUR)"
Report.vw_CBS,AEDAmmount,"Budget amount in UAE Dirhams (AED)"
Report.vw_CBS,WBSID,"Unique identifier for the associated Work Breakdown Structure (WBS) node"
Report.vw_Contracts,Contractkey,"Unique system key for the contract"
Report.vw_Contracts,ContractNumber,"Official contract reference number"
Report.vw_Contracts,ContractTitle,"Title or name of the contract"
Report.vw_Contracts,IsCashIn,"Boolean flag indicating if the contract generates cash inflow"
Report.vw_Contracts,ProjectKEY,"Unique key for the associated project"
Report.vw_Contracts,ProjectName,"Name of the associated project"
Report.vw_Contracts,ContractStatusName,"Current status of the contract (e.g., Active, Closed)"
Report.vw_Contracts,ContractedStartDate_MiladiDate,"Gregorian planned start date of the contract"
Report.vw_Contracts,ContractFinishDate_MiladiDate,"Gregorian planned finish date of the contract"
Report.vw_Contracts,ActualProgress,"Actual progress percentage of the contract"
Report.vw_Contracts,PlanProgress,"Planned progress percentage of the contract"
Report.vw_Contracts,ContractAmount,"Original financial amount of the contract"
Report.vw_Contracts,ContractFinalAmount,"Final financial amount of the contract including amendments"
Report.vw_Contracts,SumContractAmendment,"Total financial sum of all contract amendments"
Report.vw_Contracts,ContractDate_MiladiDate,"Gregorian date when the contract was signed"
Report.vw_Contracts,AmountPayment,"Total amount paid against the contract"
Report.vw_Contracts,AmountInvoice,"Total amount invoiced against the contract"
Report.vw_Contracts,CountContractAmendment,"Total number of amendments applied to the contract"
Report.vw_Contracts,CountInvoice,"Total number of invoices issued for the contract"
Report.vw_Contracts,MaxAmendmentDate_MiladiDate,"Gregorian date of the most recent contract amendment"
Report.vw_Contracts,MaxInvoice_MiladiDate,"Gregorian date of the most recent invoice"
Report.vw_Contracts,CountPayment,"Total number of payments made"
Report.vw_Contracts,MaxPaiementDate_MiladiDate,"Gregorian date of the most recent payment"
Report.vw_Contracts,نام کارگاه - فرم گردش قراداد,"Workshop name extracted from the contract workflow form"
