TABLE_NAME,Column_Name,Description
vw_Cashflow,GFromDate,The start date of the cash flow period.
vw_Cashflow,GToDate,The end date of the cash flow period.
vw_Cashflow,PlanCashIn,Planned cash inflow for the period.
vw_Cashflow,PlanCashOut,Planned cash outflow for the period.
vw_Cashflow,TotalPlanCash,Total planned cash flow (inflow minus outflow) for the period.
vw_Cashflow,PlanCashInCumulative,Cumulative planned cash inflow up to the end of the period.
vw_Cashflow,PlanCashOutCumulative,Cumulative planned cash outflow up to the end of the period.
vw_Cashflow,PlanCashCumulative,Cumulative planned cash flow up to the end of the period.
vw_Cashflow,ActualCashIn,Actual cash inflow for the period.
vw_Cashflow,ActualCashOut,Actual cash outflow for the period.
vw_Cashflow,TotalActualCash,Total actual cash flow (inflow minus outflow) for the period.
vw_Cashflow,ActualCashInCommulative,Cumulative actual cash inflow up to the end of the period.
vw_Cashflow,ActualCashOutCommulative,Cumulative actual cash outflow up to the end of the period.
vw_Cashflow,TotalActualCashCommulative,Cumulative actual cash flow up to the end of the period.
vw_Cashflow,ProjectID,Unique identifier for the project.
vw_Cashflow,TimePeriod,The time period to which this cash flow record pertains (e.g. month and quarter)
vw_CBS,CBSID,Unique identifier for the Cost Breakdown Structure (CBS) element.
vw_CBS,CBSName,Name of the Cost Breakdown Structure (CBS) element.
vw_CBS,OrganizationUnitID,Identifier for the organizational unit associated with the CBS element.
vw_CBS,OrganUnitName,Name of the organizational unit associated with the CBS element.
vw_CBS,Stakeholder_ParentID,Identifier for the parent stakeholder of this CBS element.
vw_CBS,CreationTime,Timestamp when the CBS record was created.
vw_CBS,LastModificationTime,Timestamp when the CBS record was last modified.
vw_CBS,Weight,The weight or significance of this CBS element within the project.
vw_CBS,ProjectID,Unique identifier for the project.
vw_CBS,Budget,The budgeted amount for this CBS element.
vw_CBS,IRRAmmount,The Internal Rate of Return (IRR) amount associated with this CBS element.
vw_CBS,USDAmmount,The amount in USD associated with this CBS element.
vw_CBS,EURAmmount,The amount in EUR associated with this CBS element.
vw_CBS,AEDAmmount,The amount in AED associated with this CBS element.
vw_CBS,WBSID,Identifier for the Work Breakdown Structure (WBS) element linked to this CBS element.
vw_Contracts,ContractID,Unique identifier for the contract.
vw_Contracts,ContractNumber,The official number assigned to the contract.
vw_Contracts,ContractTitle,The title or name of the contract.
vw_Contracts,ContractWithClient,Indicates if the contract is with the client.
vw_Contracts,ProjectID,Unique identifier for the project associated with the contract.
vw_Contracts,ProjectTitle,The title or name of the project associated with the contract.
vw_Contracts,ContractStatus,The current status of the contract 
vw_Contracts,ContractStartDate,The date the contract officially began.
vw_Contracts,ContractEndDate,The date the contract is scheduled to end.
vw_Contracts,ContractActualProgress,The actual percentage progress of the contract work.
vw_Contracts,ContractPlanProgress,The planned percentage progress of the contract work.
vw_Contracts,InitialAmmount,The original value of the contract.
vw_Contracts,FinalAmmount,The final value of the contract after any amendments.
vw_Contracts,AmmendmentsAmmount,The total value of all amendments made to the contract.
vw_Contracts,ContractDate,The date the contract was signed or issued.
vw_Contracts,PaidAmmount,The total amount of money paid against the contract.
vw_Contracts,InvoicedAmmount,The total amount invoiced against the contract.
vw_Contracts,NumberofAmmendments,The total number of amendments made to the contract.
vw_Contracts,NumberofInvoices,The total number of invoices issued against the contract.
vw_Contracts,LatestAmmendmentDate,The date of the most recent contract amendment.
vw_Contracts,LatestInvoicetDate,The date of the most recent invoice issued.
vw_Contracts,NumberofPayments,The total number of payments made against the contract.
vw_Contracts,LatestPaymentDate,The date of the most recent payment made.
vw_WorkItems,WorkItemID,Unique identifier for the work item.
vw_WorkItems,WBSID,Identifier for the Work Breakdown Structure (WBS) element to which this work item belongs.
vw_WorkItems,WeightOfWhole,The weight of this work item relative to the entire project or WBS.
vw_WorkItems,ProjectID,Unique identifier for the project.
vw_WorkItems,ProjectName,The name of the project.
vw_WorkItems,WorkItemTitle,The title or name of the work item.
vw_WorkItems,Duration,The planned duration of the work item.
vw_WorkItems,DurationUnit,The unit of time for the duration 
vw_WorkItems,ActualStartDate,The actual date the work item started.
