TABLE_NAME,Column_Name,Description
Report.vw_Cashflow,GFromDate,"Gregorian start date for the cashflow reporting period"
Report.vw_Cashflow,GToDate,"Gregorian end date for the cashflow reporting period"
Report.vw_Cashflow,PlanCashIn,"Planned cash inflow/revenue amount"
Report.vw_Cashflow,PlanCashOut,"Planned cash outflow/expense amount"
Report.vw_Cashflow,TotalPlanCash,"Total planned net cash flow (Inflow - Outflow)"
Report.vw_Cashflow,PlanCashInCumulative,"Cumulative planned cash inflow up to the current period"
Report.vw_Cashflow,PlanCashOutCumulative,"Cumulative planned cash outflow up to the current period"
Report.vw_Cashflow,PlanCashCumulative,"Cumulative planned net cash flow up to the current period"
Report.vw_Cashflow,ActualCashIn,"Actual cash inflow/revenue received"
Report.vw_Cashflow,ActualCashOut,"Actual cash outflow/expense paid"
Report.vw_Cashflow,TotalActualCash,"Total actual net cash flow"
Report.vw_Cashflow,ActualCashInCommulative,"Cumulative actual cash inflow up to the current period"
Report.vw_Cashflow,ActualCashOutCommulative,"Cumulative actual cash outflow up to the current period"
Report.vw_Cashflow,TotalActualCashCommulative,"Cumulative actual net cash flow up to the current period"
Report.vw_Cashflow,ProjectID,"Unique identifier for the project"
Report.vw_Cashflow,TimePeriod,"Designated time period for the cashflow record (e.g., specific month or year)"
Report.vw_CBS,CBSID,"Unique identifier for the Cost Breakdown Structure (CBS) node"
Report.vw_CBS,CBSName,"Name or title of the Cost Breakdown Structure node"
Report.vw_CBS,OrganizationUnitID,"Identifier for the organizational unit associated with this CBS"
Report.vw_CBS,OrganUnitName,"Name of the organizational unit"
Report.vw_CBS,Stakeholder_ParentID,"Identifier of the parent stakeholder for this cost center"
Report.vw_CBS,CreationTime,"Timestamp when the CBS node was created"
Report.vw_CBS,LastModificationTime,"Timestamp when the CBS node was last updated"
Report.vw_CBS,Weight,"Relative weight or importance of the CBS node in the overall budget"
Report.vw_CBS,ProjectID,"Unique identifier for the associated project"
Report.vw_CBS,Budget,"Total allocated budget for this CBS node"
Report.vw_CBS,IRRAmmount,"Budget amount in Iranian Rial (IRR)"
Report.vw_CBS,USDAmmount,"Budget amount in US Dollars (USD)"
