TABLE_NAME,Column_Name,Description
vw_Cashflow,GFromDate,
vw_Cashflow,GToDate,
vw_Cashflow,PlanCashIn,
vw_Cashflow,PlanCashOut,
vw_Cashflow,TotalPlanCash,
vw_Cashflow,PlanCashInCommulative,
vw_Cashflow,PlanCashOutCommulative,
vw_Cashflow,TotalPlanCashCommulative,
vw_Cashflow,ActualCashIn,
vw_Cashflow,ActualCashOut,
vw_Cashflow,TotalActualCash,
vw_Cashflow,ActualCashInCommulative,
vw_Cashflow,ActualCashOutCommulative,
vw_Cashflow,TotalActualCashCommulative,
vw_Cashflow,ProjectID,
vw_Cashflow,TimePeriod,
vw_CBS,CBSKEY,
vw_CBS,CBSName,
vw_CBS,OrganizationUnitPK,
vw_CBS,OrganUnitName,
vw_CBS,Stakeholder_ParentKEY,
vw_CBS,CreationTimeKEY,
vw_CBS,LastModificationTimeKEY,
vw_CBS,Weight,
vw_CBS,ProjectID,
vw_CBS,Budget,
vw_CBS,IRRAmmount,
vw_CBS,USDAmmount,
vw_CBS,EURAmmount,
vw_CBS,AEDAmmount,
vw_CBS,WBSID,
vw_Contracts,Contractkey,
vw_Contracts,کد قرارداد,
vw_Contracts,شماره قرارداد,
vw_Contracts,عنوان قرارداد,
vw_Contracts,قرارداد پروژه,
vw_Contracts,کد پروژه,
vw_Contracts,نام پروژه,
vw_Contracts,وضعیت قرارداد,
vw_Contracts,تاریخ شروع قرارداد-میلادی,
vw_Contracts,تاریخ پایان قرارداد-میلادی,
vw_Contracts,پیشرفت واقعی قرارداد,
vw_Contracts,پیشرفت برنامه ای قرارداد,
vw_Contracts,مبلغ اولیه قرارداد,
vw_Contracts,مبلغ نهایی قرارداد,
vw_Contracts,جمع مبالغ الحاقیه,
vw_Contracts,تاریخ قرارداد,
vw_Contracts,مبلغ پرداخت شده قرارداد,
vw_Contracts,مبلغ صورت وضعیت شده قرارداد,
vw_Contracts,تعداد الحاقیه ها,
vw_Contracts,تعداد صورت وضعیت ها,
vw_Contracts,تاریخ آخرین الحاقیه,
vw_Contracts,تاریخ آخرین صورت وضعیت,
vw_Contracts,تعداد پرداخت ها,
vw_Contracts,تاریخ آخرین پرداخت,
vw_Contracts,پیوست گردش قراداد مطالعه شد.,
vw_Contracts,تاریخ شروع کار پیمانکار - فرم گردش قرارداد,
vw_Contracts,تضمین انجام تعهدات,
vw_Contracts,شماره طرف قرارداد,
vw_Contracts,شماره فرم گردش قرارداد,
vw_Contracts,مدت دوره تضمین - فرم گردش قرارداد,
vw_Contracts,نام کارگاه - فرم گردش قراداد,
