TABLE_NAME,Column_Name,Description,Confidence_Score
vw_Cashflow,ProjectID,Unique identifier linking the cash flow to a specific project,100%
vw_CBS,ProjectID,Unique identifier for the associated project,100%
vw_CBS,WBSID,Foreign key linking the cost element to a Work Breakdown Structure (WBS) node,100%
vw_DataFormItem,WBSID,Foreign key linking the item to a WBS node,100%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ID,Primary key for Operational Plan sub-form (Form Builder),95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ParentID,Parent ID linking to the main form record,95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ProjectID,Project ID associated with this operational plan,95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ID,Primary key for Mandate Identity sub-form,95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ParentID,Parent ID linking to the main form record,95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ProjectID,Project ID associated with this mandate,95%
