TABLE_NAME,Column_Name,Description,Confidence_Score
vw_Cashflow,GFromDate,"Gregorian start date for the cash flow period",95%
vw_Cashflow,GToDate,"Gregorian end date for the cash flow period",95%
vw_Cashflow,PlanCashIn,"Planned cash inflow amount for the period",95%
vw_Cashflow,PlanCashOut,"Planned cash outflow amount for the period",95%
vw_Cashflow,TotalPlanCash,"Net planned cash or total planned cash transaction amount",90%
vw_Cashflow,PlanCashInCommulative,"Cumulative planned cash inflow up to the period",95%
vw_Cashflow,PlanCashOutCommulative,"Cumulative planned cash outflow up to the period",95%
vw_Cashflow,TotalPlanCashCommulative,"Cumulative total planned cash",90%
vw_Cashflow,ActualCashIn,"Actual cash inflow amount for the period",95%
vw_Cashflow,ActualCashOut,"Actual cash outflow amount for the period",95%
vw_Cashflow,TotalActualCash,"Net actual cash or total actual cash transaction amount",90%
vw_Cashflow,ActualCashInCommulative,"Cumulative actual cash inflow up to the period",95%
vw_Cashflow,ActualCashOutCommulative,"Cumulative actual cash outflow up to the period",95%
vw_Cashflow,TotalActualCashCommulative,"Cumulative total actual cash",90%
vw_Cashflow,ProjectID,"Unique identifier linking the cash flow to a specific project",100%
vw_Cashflow,TimePeriod,"Identifier or label for the time period (e.g., month or week)",95%
vw_CBS,CBSKEY,"Primary key for the Cost Breakdown Structure (CBS) record",100%
vw_CBS,CBSName,"Name or title of the Cost Breakdown Structure element",100%
vw_CBS,OrganizationUnitPK,"Foreign key linking to the responsible organization unit",100%
vw_CBS,OrganUnitName,"Name of the responsible organization unit",100%
vw_CBS,Stakeholder_ParentKEY,"Foreign key linking to the parent stakeholder",90%
vw_CBS,CreationTimeKEY,"Timestamp or key indicating when the CBS record was created",95%
vw_CBS,LastModificationTimeKEY,"Timestamp or key indicating when the CBS record was last modified",95%
vw_CBS,Weight,"Weightage of the CBS element relative to the overall project",95%
vw_CBS,ProjectID,"Unique identifier for the associated project",100%
vw_CBS,Budget,"Allocated budget for the CBS element",100%
vw_CBS,IRRAmmount,"Budget or cost amount in Iranian Rials (IRR)",95%
vw_CBS,USDAmmount,"Budget or cost amount in US Dollars (USD)",95%
vw_CBS,EURAmmount,"Budget or cost amount in Euros (EUR)",95%
vw_CBS,AEDAmmount,"Budget or cost amount in UAE Dirhams (AED)",95%
vw_CBS,WBSID,"Foreign key linking the cost element to a Work Breakdown Structure (WBS) node",100%
vw_Contracts,Contractkey,"Primary key for the contract record",100%
vw_Contracts,کد قرارداد,"Contract code (unique business identifier)",100%
vw_Contracts,شماره قرارداد,"Contract number (formal document number)",100%
vw_Contracts,عنوان قرارداد,"Contract title or subject",100%
vw_Contracts,قرارداد پروژه,"Flag or link indicating if it is a project contract",90%
vw_Contracts,کد پروژه,"Project Code",100%
vw_Contracts,نام پروژه,"Project Name",100%
vw_Contracts,وضعیت قرارداد,"Contract status (e.g., Active, Closed, Suspended)",100%
vw_Contracts,تاریخ شروع قرارداد-میلادی,"Gregorian start date of the contract",95%
vw_Contracts,تاریخ پایان قرارداد-میلادی,"Gregorian end date of the contract",95%
vw_Contracts,پیشرفت واقعی قرارداد,"Actual progress percentage of the contract",100%
vw_Contracts,پیشرفت برنامه ای قرارداد,"Planned progress percentage of the contract",100%
vw_Contracts,مبلغ اولیه قرارداد,"Initial contract amount",100%
vw_Contracts,مبلغ نهایی قرارداد,"Final or current total contract amount (including addendums)",100%
vw_Contracts,جمع مبالغ الحاقیه,"Total sum of contract addendums/amendments",100%
vw_Contracts,تاریخ قرارداد,"Date of the contract signature or creation",95%
vw_Contracts,مبلغ پرداخت شده قرارداد,"Total amount paid against the contract so far",100%
vw_Contracts,مبلغ صورت وضعیت شده قرارداد,"Total invoiced amount of the contract",100%
vw_Contracts,تعداد الحاقیه ها,"Number of contract addendums/amendments",100%
vw_Contracts,تعداد صورت وضعیت ها,"Number of invoices/statements submitted",100%
vw_Contracts,تاریخ آخرین الحاقیه,"Date of the most recent contract addendum",100%
vw_Contracts,تاریخ آخرین صورت وضعیت,"Date of the most recent invoice/statement",100%
vw_Contracts,تعداد پرداخت ها,"Total number of payments made",100%
vw_Contracts,تاریخ آخرین پرداخت,"Date of the most recent payment",100%
vw_Contracts,پیوست گردش قراداد مطالعه شد.,"Confirmation flag indicating the contract workflow attachment was read",95%
vw_Contracts,تاریخ شروع کار پیمانکار - فرم گردش قرارداد,"Contractor start date specified in the contract workflow form",95%
vw_Contracts,تضمین انجام تعهدات,"Performance guarantee or security deposit details",95%
vw_Contracts,شماره طرف قرارداد,"Contractor or contracting party ID/number",95%
vw_Contracts,شماره فرم گردش قرارداد,"Contract workflow form serial number",95%
vw_Contracts,مدت دوره تضمین - فرم گردش قرارداد,"Warranty or guarantee period duration from the workflow form",95%
vw_Contracts,نام کارگاه - فرم گردش قراداد,"Workshop or site name from the contract workflow form",95%
vw_DataFormItem,DataFormItemKEY,"Primary key for the data form item",100%
vw_DataFormItem,WBSID,"Foreign key linking the item to a WBS node",100%
vw_DataFormItem,WeightOfWhole,"Weightage of this item relative to the whole project",100%
vw_DataFormItem,ProjectKey,"Foreign key linking to the project",100%
vw_DataFormItem,ProjectName,"Name of the associated project",100%
vw_DataFormItem,DataFormItemPK,"Primary key/identifier for the data form item (alternative)",95%
vw_DataFormItem,DataFormItemTitle,"Title or name of the data form item",100%
vw_DataFormItem,Duration,"Duration required to complete the item",100%
vw_DataFormItem,DurationUnit,"Unit of time for the duration (e.g., Days, Hours)",100%
vw_DataFormItem,ActualStartDate_MiladiDate,"Gregorian actual start date",100%
vw_DataFormItem,ActualEndDate_MiladiDate,"Gregorian actual end date",100%
vw_DataFormItem,PlanStartDate_MiladiDate,"Gregorian planned start date",100%
vw_DataFormItem,PlanEndDate_MiladiDate,"Gregorian planned end date",100%
vw_DataFormItem,ActualProgress,"Actual progress percentage of the item",100%
vw_DataFormItem,PlanProgress,"Planned progress percentage of the item",100%
vw_DataFormItem,DisciplineName,"Engineering or project discipline associated with the item",100%
vw_DataFormItem,DFITypeName,"Type name or category of the Data Form Item",95%
vw_DataFormItem,WorkflowModelName,"Name of the workflow model used for this item",95%
vw_DataFormItem,حجم,"Volume or quantity of work",95%
vw_DataFormItem,اختصار حجم,"Abbreviation for the volume/quantity unit",95%
vw_DataFormItem,واحد حجم,"Unit of measurement for the volume/quantity",95%
vw_DataFormItem,AssignedUsers,"Users assigned to complete or review the item",100%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ID,"Primary key for Operational Plan sub-form (Form Builder)",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ParentID,"Parent ID linking to the main form record",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ProjectID,"Project ID associated with this operational plan",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,در_صورت_داشتن_برنامه_عملیاتی,"Details if an operational plan exists for this mandate",90%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ID,"Primary key for Mandate Identity sub-form",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ParentID,"Parent ID linking to the main form record",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ProjectID,"Project ID associated with this mandate",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,متن_حکم,"Text description of the mandate/decree",100%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,شناسه_حکم,"Unique identifier or code for the mandate",100%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,موضوع_,"Subject or topic of the mandate",100%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,ID,"Primary key for Quantitative Goal sub-form",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,ParentID,"Parent ID linking to the main form record",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,ProjectID,"Project ID associated with this goal",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,سال_پنجم,"Target or value for the fifth year",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,در_صورت_داشتن_هدف_کمی__میزان_تحقق_در_سال_اول_,"First-year realization rate if a quantitative goal exists",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,سال_چهارم,"Target or value for the fourth year",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,سال_دوم,"Target or value for the second year",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,سال_سوم,"Target or value for the third year",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,ID,"Primary key for Custodian Department sub-form",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,ParentID,"Parent ID linking to the main form record",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,ProjectID,"Project ID associated with this department allocation",95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,واحد_همکار,"Collaborating unit or department",100%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,واحد_همکار_درون_سازمانی_,"Internal collaborative unit within the organization",100%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,دستگاه_متولی_برون_سازمانی_,"External custodian agency or body",100%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,واحد_اصلی,"Main or primary responsible unit",100%
vw_FB_فرم_آپلود_فایل,ID,"Primary key for custom File Upload Form",95%
vw_FB_فرم_آپلود_فایل,ParentID,"Parent record ID",95%
vw_FB_فرم_آپلود_فایل,ProjectID,"Associated Project ID",95%
vw_FB_فرم_آپلود_فایل,نام_و_نام_خانوادگی,"First and Last Name of the uploader or subject",100%
vw_FB_فرم_اقای_احمدی,ID,"Primary key for Mr. Ahmadi's custom form",95%
vw_FB_فرم_اقای_احمدی,ParentID,"Parent record ID",95%
vw_FB_فرم_اقای_احمدی,ProjectID,"Associated Project ID",95%
vw_FB_فرم_اقای_احمدی,متن,"Text content or description in the custom form",100%
vw_FB_فرم_اقای_احمدی#child,ID,"Primary key for child table in Mr. Ahmadi's form",95%
vw_FB_فرم_اقای_احمدی#child,ParentID,"Parent record ID",95%
