TABLE_NAME,Column_Name,Description,Confidence_Score
vw_Cashflow,ProjectID,Foreign key identifying the project,100
vw_CBS,ProjectID,Foreign key identifying the project,100
vw_CBS,WBSID,Foreign key to the associated Work Breakdown Structure (WBS) node,100
vw_DataFormItem,WBSID,Associated WBS ID,100
vw_DataFormItem,SubProjectID,Foreign key to a sub-project if applicable,100
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ID,Form Builder ID for the Operational Plan section,95
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ParentID,Parent ID linking to the main mandate/form,95
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ProjectID,Associated Project ID,100
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ID,Form Builder ID for the Mandate Specification section,95
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ParentID,Parent ID,95
