TABLE_NAME,Column_Name,Description,Confidence_Score
vw_Cashflow,DateType,"Type of date interval or aggregation (e.g., Monthly, Yearly)",95
vw_Cashflow,GFromDate,"Gregorian start date of the cashflow period",100
vw_Cashflow,GToDate,"Gregorian end date of the cashflow period",100
vw_Cashflow,JFromDate,"Jalali (Persian) start date of the cashflow period",100
vw_Cashflow,JToDate,"Jalali (Persian) end date of the cashflow period",100
vw_Cashflow,PlanCashIn,"Planned cash inflow for the period",100
vw_Cashflow,PlanCashOut,"Planned cash outflow for the period",100
vw_Cashflow,TotalPlanCash,"Net planned cash for the period",95
vw_Cashflow,PlanCashInCommulative,"Cumulative planned cash inflow up to this period",100
vw_Cashflow,PlanCashOutCommulative,"Cumulative planned cash outflow up to this period",100
vw_Cashflow,TotalPlanCashCommulative,"Cumulative net planned cash up to this period",95
vw_Cashflow,ActualCashIn,"Actual cash inflow recorded for the period",100
vw_Cashflow,ActualCashOut,"Actual cash outflow recorded for the period",100
vw_Cashflow,TotalActualCash,"Net actual cash for the period",95
vw_Cashflow,ActualCashInCommulative,"Cumulative actual cash inflow up to this period",100
vw_Cashflow,ActualCashOutCommulative,"Cumulative actual cash outflow up to this period",100
vw_Cashflow,TotalActualCashCommulative,"Cumulative net actual cash up to this period",95
vw_Cashflow,ProjectID,"Foreign key identifying the project",100
vw_Cashflow,TimePeriod,"Identifier or string for the specific time period",90
vw_CBS,CBSKEY,"Primary key for the Cost Breakdown Structure (CBS) node",100
vw_CBS,CBSName,"Name of the CBS node",100
vw_CBS,OrganizationUnitPK,"Foreign key to the responsible organizational unit",100
vw_CBS,OrganUnitName,"Name of the responsible organizational unit",100
vw_CBS,Stakeholder_ParentKEY,"Foreign key identifying the parent stakeholder",90
vw_CBS,CreatedBy,"User who created the CBS record",100
vw_CBS,LastModifiedBy,"User who last modified the CBS record",100
vw_CBS,CreationTimeKEY,"Timestamp key for when the record was created",100
vw_CBS,LastModificationTimeKEY,"Timestamp key for when the record was last modified",100
vw_CBS,Weight,"Weight percentage of this CBS node in the overall project",95
vw_CBS,ProjectID,"Foreign key identifying the project",100
vw_CBS,Budget,"Total allocated budget for this CBS node",100
vw_CBS,IRRAmmount,"Budget amount in Iranian Rials (IRR)",100
vw_CBS,USDAmmount,"Budget amount in US Dollars (USD)",100
vw_CBS,EURAmmount,"Budget amount in Euros (EUR)",100
vw_CBS,AEDAmmount,"Budget amount in UAE Dirhams (AED)",100
vw_CBS,WBSID,"Foreign key to the associated Work Breakdown Structure (WBS) node",100
vw_Contracts,Contractkey,"Primary key for the contract",100
vw_Contracts,کد قرارداد,"Contract code (System/Internal ID)",100
vw_Contracts,شماره قرارداد,"Contract number (Official/Paper ID)",100
vw_Contracts,عنوان قرارداد,"Title or subject of the contract",100
vw_Contracts,قرارداد پروژه,"Flag or ID indicating the main project contract",90
vw_Contracts,کد پروژه,"Project code associated with the contract",100
vw_Contracts,نام پروژه,"Name of the project associated with the contract",100
vw_Contracts,وضعیت قرارداد,"Current status of the contract (e.g., Active, Closed)",100
vw_Contracts,تاریخ شروع قرارداد-سال,"Contract start date - Year component",100
vw_Contracts,تاریخ شروع قرارداد-ماه,"Contract start date - Month component",100
vw_Contracts,تاریخ شروع قرارداد-روز,"Contract start date - Day component",100
vw_Contracts,تاریخ شروع قرارداد-شمسی,"Contract start date in Jalali (Shamsi) calendar",100
vw_Contracts,تاریخ شروع قرارداد-میلادی,"Contract start date in Gregorian (Miladi) calendar",100
vw_Contracts,تاریخ پایان قرارداد-سال,"Contract end date - Year component",100
vw_Contracts,تاریخ پایان قرارداد-ماه,"Contract end date - Month component",100
vw_Contracts,تاریخ پایان قرارداد-روز,"Contract end date - Day component",100
vw_Contracts,تاریخ پایان قرارداد-شمسی,"Contract end date in Jalali (Shamsi) calendar",100
vw_Contracts,تاریخ پایان قرارداد-میلادی,"Contract end date in Gregorian (Miladi) calendar",100
vw_Contracts,پیشرفت واقعی قرارداد,"Actual physical or financial progress of the contract",100
vw_Contracts,پیشرفت برنامه ای قرارداد,"Planned progress of the contract",100
vw_Contracts,مبلغ اولیه قرارداد,"Initial agreed amount of the contract",100
vw_Contracts,مبلغ نهایی قرارداد,"Final contract amount including amendments",100
vw_Contracts,جمع مبالغ الحاقیه,"Total sum of financial amendments/addendums",100
vw_Contracts,تاریخ قرارداد-سال,"Contract signature date - Year",100
vw_Contracts,تاریخ قرارداد-ماه,"Contract signature date - Month",100
vw_Contracts,تاریخ قرارداد-روز,"Contract signature date - Day",100
vw_Contracts,تاریخ قرارداد,"Full date of the contract signature",100
vw_Contracts,مبلغ پرداخت شده قرارداد,"Total amount paid to date on the contract",100
vw_Contracts,مبلغ صورت وضعیت شده قرارداد,"Total amount invoiced (Statement of Work) so far",100
vw_Contracts,تعداد الحاقیه ها,"Number of amendments/addendums issued",100
vw_Contracts,تعداد صورت وضعیت ها,"Number of invoices/statements issued",100
vw_Contracts,تاریخ آخرین الحاقیه-سال,"Date of the last amendment - Year",100
vw_Contracts,تاریخ آخرین الحاقیه-ماه,"Date of the last amendment - Month",100
vw_Contracts,تاریخ آخرین الحاقیه-روز,"Date of the last amendment - Day",100
vw_Contracts,تاریخ آخرین الحاقیه,"Full date of the last amendment",100
vw_Contracts,تاریخ آخرین صورت وضعیت-سال,"Date of the last invoice - Year",100
vw_Contracts,تاریخ آخرین صورت وضعیت-ماه,"Date of the last invoice - Month",100
vw_Contracts,تاریخ آخرین صورت وضعیت-روز,"Date of the last invoice - Day",100
vw_Contracts,تاریخ آخرین صورت وضعیت,"Full date of the last invoice",100
vw_Contracts,تعداد پرداخت ها,"Total number of payments made",100
vw_Contracts,تاریخ آخرین پرداخت-سال,"Date of the last payment - Year",100
vw_Contracts,تاریخ آخرین پرداخت-ماه,"Date of the last payment - Month",100
vw_Contracts,تاریخ آخرین پرداخت-روز,"Date of the last payment - Day",100
vw_Contracts,تاریخ آخرین پرداخت,"Full date of the last payment",100
vw_Contracts,پیوست گردش قراداد مطالعه شد.,"Flag indicating if contract workflow attachments were read",95
vw_Contracts,تاریخ شروع کار پیمانکار - فرم گردش قرارداد,"Contractor actual work start date from workflow form",95
