table_name,column_name,Column3,Column4,Column5
vw_Cashflow,DateType,NOT NEEDED FOR AI,,
vw_Cashflow,JFromDate,NOT NEEDED FOR AI,,
vw_Cashflow,JToDate,NOT NEEDED FOR AI,,
vw_CBS,CreatedBy,NOT NEEDED FOR AI,,
vw_CBS,LastModifiedBy,NOT NEEDED FOR AI,,
vw_Contract,تاریخ شروع قرارداد-سال,NOT NEEDED FOR AI,,
vw_Contract,تاریخ شروع قرارداد-ماه,NOT NEEDED FOR AI,,
vw_Contract,تاریخ شروع قرارداد-روز,NOT NEEDED FOR AI,,
vw_Contract,تاریخ شروع قرارداد-شمسی,NOT NEEDED FOR AI,,
vw_Contract,تاریخ پایان قرارداد-سال,NOT NEEDED FOR AI,,
vw_Contract,تاریخ پایان قرارداد-ماه,NOT NEEDED FOR AI,,
vw_Contract,تاریخ پایان قرارداد-روز,NOT NEEDED FOR AI,,
vw_Contract,تاریخ پایان قرارداد-شمسی,NOT NEEDED FOR AI,,
vw_Contract,تاریخ قرارداد-سال,NOT NEEDED FOR AI,,
vw_Contract,تاریخ قرارداد-ماه,NOT NEEDED FOR AI,,
vw_Contract,تاریخ قرارداد-روز,NOT NEEDED FOR AI,,
vw_Contract,تاریخ آخرین الحاقیه-سال,NOT NEEDED FOR AI,,
vw_Contract,تاریخ آخرین الحاقیه-ماه,NOT NEEDED FOR AI,,
vw_Contract,تاریخ آخرین الحاقیه-روز,NOT NEEDED FOR AI,,
vw_Contract,تاریخ آخرین صورت وضعیت-سال,NOT NEEDED FOR AI,,
vw_Contract,تاریخ آخرین صورت وضعیت-ماه,NOT NEEDED FOR AI,,
vw_Contract,تاریخ آخرین صورت وضعیت-روز,NOT NEEDED FOR AI,,
vw_Contract,تاریخ آخرین پرداخت-سال,NOT NEEDED FOR AI,,
vw_Contract,تاریخ آخرین پرداخت-ماه,NOT NEEDED FOR AI,,
vw_Contract,تاریخ آخرین پرداخت-روز,NOT NEEDED FOR AI,,
vw_DataFormItem,ActualStartDateKEY,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,ActualStartDate_Year,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,ActualStartDate_Month,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,ActualStartDate_Day,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,ActualStartDate_PersianDate,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,ActualEndDateKEY,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,ActualEndDate_Year,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,ActualEndDate_Month,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,ActualEndDate_Day,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,ActualEndDate_PersianDate,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,PlanStartDateKEY,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,PlanStartDate_Year,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,PlanStartDate_Month,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,PlanStartDate_Day,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,PlanStartDate_PersianDate,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,PlanEndDateKEY,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,PlanEndDate_Year,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,PlanEndDate_Month,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,PlanEndDate_Day,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,PlanEndDate_PersianDate,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_DataFormItem,SubProjectID,NOT NEEDED FOR AI,view name should be changed to vw_WorkItems,
vw_Invoice,DateReceivedKEY,NOT NEEDED FOR AI,,
vw_Invoice,DateReceived_JalaliDate,NOT NEEDED FOR AI,,
vw_Invoice,DateReceived_JalaliDay,NOT NEEDED FOR AI,,
vw_Invoice,DateReceived_JalaliMonth,NOT NEEDED FOR AI,,
vw_Invoice,DateReceived_JalaliYear,NOT NEEDED FOR AI,,
vw_Invoice,DateIssuedKEY,NOT NEEDED FOR AI,,
vw_Invoice,DateIssued_JalaliDate,NOT NEEDED FOR AI,,
vw_Invoice,DateIssued_JalaliDay,NOT NEEDED FOR AI,,
vw_Invoice,DateIssued_JalaliMonth,NOT NEEDED FOR AI,,
vw_Invoice,DateIssued_JalaliYear,NOT NEEDED FOR AI,,
vw_Issues,OrganUnitName,NOT NEEDED FOR AI,,
vw_Issues,ParentID,NOT NEEDED FOR AI,,
vw_Issues,IdentificationDate_JalaliDate,NOT NEEDED FOR AI,,
vw_Issues,IdentificationDate_JalaliYear,NOT NEEDED FOR AI,,
vw_Issues,IdentificationDate_JalaliMonth,NOT NEEDED FOR AI,,
vw_Issues,IdentificationDate_JalaliDay,NOT NEEDED FOR AI,,
vw_Issues,DueDate_JalaliDate,NOT NEEDED FOR AI,,
vw_Issues,DueDate_JalaliYear,NOT NEEDED FOR AI,,
vw_Issues,DueDate_JalaliMonth,NOT NEEDED FOR AI,,
vw_Issues,DueDate_JalaliDay,NOT NEEDED FOR AI,,
vw_Issues,CreatedByKEY,NOT NEEDED FOR AI,,
vw_Issues,LastModifiedByKEY,NOT NEEDED FOR AI,,
vw_Issues,StatusPK,NOT NEEDED FOR AI,,
vw_Issues,DateTypePK,NOT NEEDED FOR AI,,
vw_Issues,ProjectStatusPK,NOT NEEDED FOR AI,,
vw_OrganUnitScurve,jFromDate,NOT NEEDED FOR AI,,
vw_OrganUnitScurve,jTodate,NOT NEEDED FOR AI,,
vw_OrganUnitScurve,Orgid,NOT NEEDED FOR AI,,
vw_OrganUnitScurve,TimePeriod,NOT NEEDED FOR AI,,
vw_Payments,ContractTitle,NOT NEEDED FOR AI,,
vw_Payments,ContractJalaliDate,NOT NEEDED FOR AI,,
vw_Payments,ContractJalaliYear,NOT NEEDED FOR AI,,
vw_Payments,ContractJalaliMonth,NOT NEEDED FOR AI,,
vw_Payments,PaymentJalaliDate,NOT NEEDED FOR AI,,
vw_Payments,PaymentJalaliYear,NOT NEEDED FOR AI,,
vw_Payments,PaymentJalaliMonth,NOT NEEDED FOR AI,,
