View Name,Description
vw_CBS,"This view contains information on Projects' Cost Breakdown Structure. It can be used for EVM (Earned Value Management) module."
vw_Projects,"This view contains general information on Projects, like Name, Type, Status, project's location and other cutom fields"
vw_Contracts,"A comprehensive reporting view of contracts that captures contract identity, associated projects, status and progress, key dates, financial values, payment activity, and administrative form details for lifecycle tracking and analysis."
vw_DataFormItem,"This view contains information on Projects' Data Form Items (in Persian: قلم کاری). DFIs are building block of an activity or Work Items and tyically used for collecting progress."
vw_FB_فرم_آپلود_فایل,"Views started with vw_FB_ are dynamically created view of 'Form Builder' module. Number and existance of these types of view are in accordance with number of forms created."
vw_Invoice,"This view contains information on Projects' Invoices. Invoices are always connected to contacts as well."
vw_Issues,"This view contains information on Projects' Issues. Inforrmation like status and severity."
vw_OrganizationUnit,"This view contains List of Organization units. Organization units of one of 3 stakeholder types in the software. Other type of stakeholders and natural and legal types."
vw_OrganizationUnitType,"This view contains information on Organization unit types. This view may be used in filtering and grouping."
vw_OrganUnitScurve,"This view provide timed data on aggregated plan and actual progress of projects within organization units. It is used to create progress charts in organization units level."
vw_Payments,"This view contains information on Projects' Payments. Payments can be connected to contacts and invoices."
vw_Photos,"This view contains information on Projects' Photo files."
vw_PlanHistory,"'A historical snapshot table that records each project plan’s WBS hierarchy, names, creation time, and planned start/end dates, stored in both Gregorian and Jalali calendar formats."
vw_ProjectGroup,"This view provide lists Portfolios. Portfolios are hierarchical groups of projects,"
vw_ProjectGroupScurve,"This view provide timed data on aggregated plan and actual progress of projects within Portfolio. It is used to create progress charts in Portfolio level."
vw_ProjectMonthlyReport,"This view is part of construction module and provides information on a project's previouse month activities"
vw_ProjectPlan,"List of Project plan baselines"
vw_ProjectPlanProgress,"Plan progress of projects by date"
vw_ProjectScurve,"This view provide timed data on aggregated plan and actual progress of projects It is used to create progress charts in projectlevel."
vw_ResourceUsage,"This view contains information on Resource usage of projects. Resources are typically Material, Cost and Work and can be imported from project's schedule or manually entered"
vw_Risks,"This view contains information on Projects' Issues. Inforrmation like status and Probabilty and Impact."
vw_WBS,"This view contains information on Projects' Work Breakdown Structure."
vw_WorkItems,"This view contains information on Projects' Work Items or Activities. WIs are the smallest block in WBS and contain one or more Data Form Items."
